Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
0.0,-4.508274059568275e-18,-1.185575615393527e-18,-3.966409402639415e-18,-4.1627830214442135e-18,-6.995585995945007e-19,-4.620785163718516e-18,-1.0638902708333777e-18,-1.910508948869545e-18,-2.181989845918044e-18,-7.733506433082422e-19,-3.0922364442518522e-18,-6.2219602152883994e-18,-1.7341256761090985e-18,-6.140737509208564e-18,-1.0835359109609189e-17,-1.2270894190792774e-17
0.0,0.0,-5.987634855937823e-5,-1.4623180083429784e-5,-0.0001054449341406205,-6.20195661322225e-5,-7.500874098344627e-5,-0.0003584161510520316,-5.795639737088212e-5,-5.998274830363586e-5,-6.939944522166827e-5,1.1961285128045943e-5,7.509630776158815e-5,-2.5250327685854146e-5,0.00020290508035213602,5.345686761495502e-5,0.0004809285984804928
0.0,0.0,0.0,-0.00047805750646980576,7.850555876368349e-6,-0.00029642594141003604,-0.00030822608700124197,-0.001161165649980917,-0.0002944763650995241,-0.00036170259657845324,-0.0003434273108567584,-0.00028847083586519773,-0.0010974477747262273,-0.0005293516937281881,-0.0004782512519110259,0.00017550319378072137,-0.0005384704757188755
0.0,0.0,0.0,0.0,-0.007442054656830796,-0.005657657886164036,-0.006660572341691872,-0.00681393049288183,-0.006172470716298435,-0.005940317264450097,-0.0052567078415612445,-0.006434154276858473,-0.010202173027468038,-0.006709025993526661,-0.012490980853127298,-0.0033434493238400226,0.006664389198467695
0.0,0.0,0.0,0.0,0.0,-0.0012529050137312222,0.000566651740702587,-0.0010040524692357833,-0.0011595802482010703,-0.0011546551470956862,-0.0018095905736467937,3.067695513825269e-5,-0.002224254516725828,-0.0017922456699117249,0.011064345775141315,-0.0068095596708668635,0.007206778462775504
0.0,0.0,0.0,0.0,0.0,0.0,0.008152580489738432,0.008146307514246949,0.008017159298032116,0.008053665976282709,0.0073007444339638124,0.008343057732217413,0.007614561343175974,0.007856259413902994,-0.0023999107443788653,0.005138784932776579,0.004461165476083006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012880657937238635,0.0015467256174399552,0.00151470518686393,0.0066332012219979765,0.00020961071506197843,-0.004941157942965791,0.0011987379335149152,0.0037650111993994774,0.006014365166202296,-0.0021740229830529935
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018096144120207186,-0.014574625308287353,-0.012822480852774149,-0.01975135322640416,-0.02372381860400982,-0.01822196925464009,-0.027665072924681473,-0.010094620228449378,-0.013699515911941483
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002585115780793849,-0.0002784074300140325,-0.0002919071880042039,-0.0006317677091581399,-0.0002756151892026182,-0.0008353608835496991,-0.0003015300158170019,0.0006227500443616888
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003290182440748986,0.0010991538665758452,0.002288104815165528,0.0017563164204174458,0.003997599979178747,0.0007413787710135753,0.009426409607810202
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011691484229134297,-0.017669965436641635,-0.01160768481816409,-0.01582329750048891,0.00047817695114491643,-0.02101141358790561
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011590189078532312,0.008556228467887924,0.0037915629241208173,0.00849854085540769,0.018802694902592607
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006087918560283305,-0.029323863842802545,0.002256364846351291,0.003952795474433504
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002397497750515209,0.0008821743266437692,0.0021205405073217525
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02375385066560214,0.1311384802977414
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05174529847534836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
